book,day,word,meaning
워드마스터 수능 2000,Day 1,provide,"공급하다, 준비하다"
워드마스터 수능 2000,Day 1,develop,"개발하다, 발달[발전]하다"
워드마스터 수능 2000,Day 1,service,"서비스, 봉사, 공공 업무"
워드마스터 수능 2000,Day 1,inform,"알리다, 통지하다"
워드마스터 수능 2000,Day 1,relationship,관계
워드마스터 수능 2000,Day 1,improve,"향상시키다, 향상하다"
워드마스터 수능 2000,Day 1,individual,"개인, 개인의, 개인적인"
워드마스터 수능 2000,Day 1,require,"필요로 하다, 요구하다"
워드마스터 수능 2000,Day 1,advise,"조언하다, 충고하다"
워드마스터 수능 2000,Day 1,social,"사회의, 사교적인"
워드마스터 수능 2000,Day 1,amount,"총액, 총계, 양, 총계가 ~이 되다"
워드마스터 수능 2000,Day 1,behave,(예의 바르게) 행동하다
워드마스터 수능 2000,Day 1,employ,"고용하다, (기술·방법 등을) 쓰다"
워드마스터 수능 2000,Day 1,attitude,"태도, 입장"
워드마스터 수능 2000,Day 1,research,"연구, 연구하다, 조사하다"
워드마스터 수능 2000,Day 1,audience,"청중, 관객"
워드마스터 수능 2000,Day 1,volunteer,"자원봉사, 지원자, 자원하다"
워드마스터 수능 2000,Day 1,influence,"영향, 영향을 미치는 것[사람], 영향을 끼치다"
워드마스터 수능 2000,Day 1,terrible,"끔찍한, 무서운"
워드마스터 수능 2000,Day 1,opportunity,기회
워드마스터 수능 2000,Day 1,ability,능력
워드마스터 수능 2000,Day 1,expense,"비용, 지출"
워드마스터 수능 2000,Day 1,local,"지방의, 지역의, 장소의"
워드마스터 수능 2000,Day 1,involve,"포함하다, 관련되다, (사건 등에) 말려들게 하다"
워드마스터 수능 2000,Day 1,stress,"스트레스, 강조, 강조하다, 압력을 주다"
워드마스터 수능 2000,Day 1,therefore,"그러므로, 그 결과"
워드마스터 수능 2000,Day 1,positive,"긍정적인, 확신하는"
워드마스터 수능 2000,Day 1,average,"평균, 평균의, 평균 ~이다"
워드마스터 수능 2000,Day 1,ride,"(탈것을) 타다, 타기, 타고가기"
워드마스터 수능 2000,Day 1,encourage,"촉구하다, 격려하다"
워드마스터 수능 2000,Day 1,determine,"결정하다, 결심하다"
워드마스터 수능 2000,Day 1,international,"국제의, 국제적인"
워드마스터 수능 2000,Day 1,consume,"소비하다, 먹다[마시다]"
워드마스터 수능 2000,Day 1,impress,"깊은 인상을 주다, 감동시키다"
워드마스터 수능 2000,Day 1,object,"물체, 목표, 반대하다"
워드마스터 수능 2000,Day 1,available,"이용 가능한, 쓸모 있는"
워드마스터 수능 2000,Day 1,contain,"함유하다, 포함하다, 억제하다"
워드마스터 수능 2000,Day 1,recognize,"인지하다, 인정하다"
워드마스터 수능 2000,Day 1,material,"재료, 물질, 물질의"
워드마스터 수능 2000,Day 1,comfort,"편안하게 하다, 위로하다, 편안, 위로"
워드마스터 수능 2000,Day 2,emotion,감정
워드마스터 수능 2000,Day 2,amaze,놀라게 하다
워드마스터 수능 2000,Day 2,reduce,"줄이다, 낮추다"
워드마스터 수능 2000,Day 2,discover,발견하다
워드마스터 수능 2000,Day 2,decide,"결심하다, 결정하다"
워드마스터 수능 2000,Day 2,benefit,"이익, 이익이 되다"
워드마스터 수능 2000,Day 2,affect,"영향을 미치다, ~인 체하다"
워드마스터 수능 2000,Day 2,level,"수준, 수평, 수평의, 평평하게 하다"
워드마스터 수능 2000,Day 2,chemistry,"화학, 교감(交感)"
워드마스터 수능 2000,Day 2,immediate,"직접의, 즉각적인"
워드마스터 수능 2000,Day 2,thus,"그러므로, 따라서"
워드마스터 수능 2000,Day 2,proper,"적절한, 알맞은"
워드마스터 수능 2000,Day 2,performance,"공연, 성적, 성과"
워드마스터 수능 2000,Day 2,essence,"(사물의) 본질, 정수(精髓)"
워드마스터 수능 2000,Day 2,economic,"경제의, 경제학의"
워드마스터 수능 2000,Day 2,cell,"세포, 작은 방, 독방"
워드마스터 수능 2000,Day 2,focus,"초점, 집중하다"
워드마스터 수능 2000,Day 2,issue,"논란거리, 발행, 발행물, 발행하다"
워드마스터 수능 2000,Day 2,participate,"참여하다, 참가하다 (in)"
워드마스터 수능 2000,Day 2,demand,"요구하다, 수요"
워드마스터 수능 2000,Day 2,occur,"(사건이) 일어나다, 발생하다"
워드마스터 수능 2000,Day 2,complex,"복잡한, 복합체"
워드마스터 수능 2000,Day 2,define,"정의하다, 한계 짓다, 한정하다"
워드마스터 수능 2000,Day 2,proud,"자랑스러워하는, 자만하는"
워드마스터 수능 2000,Day 2,aware,"인지하는, 알고 있는"
워드마스터 수능 2000,Day 2,contact,"접촉, 접촉하다"
워드마스터 수능 2000,Day 2,profession,"직업, 직종"
워드마스터 수능 2000,Day 2,detail,"세부, 상술하다"
워드마스터 수능 2000,Day 2,approach,"접근하다, 접근"
워드마스터 수능 2000,Day 2,career,"직업, 경력"
워드마스터 수능 2000,Day 2,package,"꾸러미, 포장, 포장하다"
워드마스터 수능 2000,Day 2,disappear,사라지다
워드마스터 수능 2000,Day 2,novel,"(장편) 소설, 참신한"
워드마스터 수능 2000,Day 2,secure,"안전한, 안전하게 하다, 확보하다"
워드마스터 수능 2000,Day 2,fashion,"유행, 패션, 방식, 만들어 내다"
워드마스터 수능 2000,Day 2,despite,~에도 불구하고
워드마스터 수능 2000,Day 2,background,"배경, 배경 지식, 이유"
워드마스터 수능 2000,Day 2,solution,"해결, 해결책, 용액"
워드마스터 수능 2000,Day 2,generate,"일으키다, 발생시키다"
워드마스터 수능 2000,Day 2,eventually,결국
워드마스터 수능 2000,Day 3,decrease,"줄다[감소하다], 줄이다, 감소"
워드마스터 수능 2000,Day 3,recycle,재활용하다
워드마스터 수능 2000,Day 3,desire,"욕망, 욕구, 바라다"
워드마스터 수능 2000,Day 3,balance,"균형, 은행 잔고, 균형을 이루다"
워드마스터 수능 2000,Day 3,negative,부정적인
워드마스터 수능 2000,Day 3,follow,"따라가다, (규칙을) 따르다"
워드마스터 수능 2000,Day 3,account,"은행 계좌, 이야기, 설명, 설명하다"
워드마스터 수능 2000,Day 3,publish,"발표하다, 출판하다"
워드마스터 수능 2000,Day 3,occasion,"경우, 특별한 일"
워드마스터 수능 2000,Day 3,replace,대체하다
워드마스터 수능 2000,Day 3,constant,"일정한, 불변의 (수학에서의) 상수"
워드마스터 수능 2000,Day 3,expert,전문가
워드마스터 수능 2000,Day 3,term,"용어, 기간, 학기"
워드마스터 수능 2000,Day 3,relieve,"경감하다, 안도시키다"
워드마스터 수능 2000,Day 3,describe,"묘사하다, 표현하다"
워드마스터 수능 2000,Day 3,biology,생물학
워드마스터 수능 2000,Day 3,due,"만기의, ~하기로 되어 있는"
워드마스터 수능 2000,Day 3,equipment,"장치, 장비"
워드마스터 수능 2000,Day 3,congratulate,축하하다
워드마스터 수능 2000,Day 3,birth,탄생
워드마스터 수능 2000,Day 3,compose,"구성하다, 작곡하다, 작문하다"
워드마스터 수능 2000,Day 3,genius,"천재, 천재성"
워드마스터 수능 2000,Day 3,reflect,"반영하다, 반사하다, 숙고하다"
워드마스터 수능 2000,Day 3,cause,"~의 원인이 되다, 야기하다, 원인"
워드마스터 수능 2000,Day 3,frequent,"빈번한, (장소·모임에) 자주 가다"
워드마스터 수능 2000,Day 3,factor,"요인, 요소"
워드마스터 수능 2000,Day 3,extreme,"극단의, 극단"
워드마스터 수능 2000,Day 3,tend,"(~하는) 경향이 있다 (to), 돌보다"
워드마스터 수능 2000,Day 3,politics,"정치, 정치학"
워드마스터 수능 2000,Day 3,insist,주장하다
워드마스터 수능 2000,Day 3,extend,"연장하다, 넓히다"
워드마스터 수능 2000,Day 3,lonely,외로운
워드마스터 수능 2000,Day 3,habitat,"서식지, 주거지"
워드마스터 수능 2000,Day 3,mental,정신의
워드마스터 수능 2000,Day 3,steady,"안정된, 한결같은, 꾸준한"
워드마스터 수능 2000,Day 3,exchange,교환하다
워드마스터 수능 2000,Day 3,active,"활동적인, 적극적인"
워드마스터 수능 2000,Day 3,species,(생물 분류상의) 종(種)
워드마스터 수능 2000,Day 3,athletic,"운동의, 운동 경기의"
워드마스터 수능 2000,Day 3,dental,치아의
워드마스터 수능 2000,Day 4,circumstance,"환경, 상황, 형편"
워드마스터 수능 2000,Day 4,environment,환경
워드마스터 수능 2000,Day 4,active,"활동적인, 적극적인, 활발한"
워드마스터 수능 2000,Day 4,community,"지역 사회, 공동체"
워드마스터 수능 2000,Day 4,necessity,"필요, 필수품"
워드마스터 수능 2000,Day 4,effort,"노력, 수고, 결과"
워드마스터 수능 2000,Day 4,participate,"참가하다, 참여하다"
워드마스터 수능 2000,Day 4,regular,"규칙적인, 정기적인, 단골"
워드마스터 수능 2000,Day 4,evolution,"진화, 발전"
워드마스터 수능 2000,Day 4,development,"발전, 성장, 개발"
워드마스터 수능 2000,Day 4,progress,"진전, 진보하다, 전진하다"
워드마스터 수능 2000,Day 4,permit,"허락하다, 허용하다"
워드마스터 수능 2000,Day 4,forbid,금지하다
워드마스터 수능 2000,Day 4,prohibit,금지하다
워드마스터 수능 2000,Day 4,emission,"배출, 방출, 배출물"
워드마스터 수능 2000,Day 4,perspective,"관점, 시각, 원근법"
워드마스터 수능 2000,Day 4,conservative,"보수적인, 보수주의의"
워드마스터 수능 2000,Day 4,entire,"전체의, 완전한"
워드마스터 수능 2000,Day 4,measure,"측정하다, 재다, 측정"
워드마스터 수능 2000,Day 4,maintain,"유지하다, 지지하다"
워드마스터 수능 2000,Day 4,support,"지지하다, 지원하다, 지지"
워드마스터 수능 2000,Day 4,prevent,"막다, 예방하다"
워드마스터 수능 2000,Day 4,occur,"발생하다, 일어나다"
워드마스터 수능 2000,Day 4,passion,"열정, 격정"
워드마스터 수능 2000,Day 4,suffer,"병을 앓다, 고통을 겪다"
워드마스터 수능 2000,Day 4,determine,"결정하다, 밝혀내다"
워드마스터 수능 2000,Day 4,influence,"영향, 영향을 주다"
워드마스터 수능 2000,Day 4,impact,"영향, 충격, 영향을 주다"
워드마스터 수능 2000,Day 4,immediate,"즉각적인, 직접의"
워드마스터 수능 2000,Day 4,military,"군대, 군대의"
워드마스터 수능 2000,Day 4,ancient,"고대의, 옛날의"
워드마스터 수능 2000,Day 4,emphasize,"강조하다, 두드러지게 하다"
워드마스터 수능 2000,Day 4,preference,"선호, 선호하는 것"
워드마스터 수능 2000,Day 4,respect,"존경하다, 존중하다, 존경"
워드마스터 수능 2000,Day 4,concerned,"걱정하는, 관심이 있는"
워드마스터 수능 2000,Day 4,conflict,"갈등, 충돌, 충돌하다"
워드마스터 수능 2000,Day 4,forecast,"예측하다, 예보하다, 예보"
워드마스터 수능 2000,Day 4,predict,"예측하다, 예언하다"
워드마스터 수능 2000,Day 4,tendency,"경향, 추세, 성향"
워드마스터 수능 2000,Day 4,function,"기능, 행사, 작용하다"
워드마스터 수능 2000,Day 5,conclude,"결론짓다, 끝내다"
워드마스터 수능 2000,Day 5,donate,기부하다
워드마스터 수능 2000,Day 5,personality,"개성, 성격, 특색"
워드마스터 수능 2000,Day 5,struggle,"싸우다, 노력하다, 투쟁, 노력"
워드마스터 수능 2000,Day 5,advantage,"유리한 점, 이익"
워드마스터 수능 2000,Day 5,variety,"다양, 다양성"
워드마스터 수능 2000,Day 5,enable,가능하게 하다
워드마스터 수능 2000,Day 5,instruction,"지시, 제품 사용 설명서, 가르침"
워드마스터 수능 2000,Day 5,assume,"추정하다, (태도 등을) 취하다"
워드마스터 수능 2000,Day 5,attempt,"시도하다, 시도"
워드마스터 수능 2000,Day 5,incredible,"믿을 수 없는, (믿기 어려울 만큼) 굉장한"
워드마스터 수능 2000,Day 5,feature,"특징, 특집 기사, 얼굴 생김새 ~을 특징으로 하다, 주연하다"
워드마스터 수능 2000,Day 5,confuse,"혼동하다, 혼란시키다"
워드마스터 수능 2000,Day 5,electronic,전자의
워드마스터 수능 2000,Day 5,absorb,"흡수하다, (사람·마음을) 열중시키다"
워드마스터 수능 2000,Day 5,indicate,"가리키다, 나타내다"
워드마스터 수능 2000,Day 5,analyze,분석하다
워드마스터 수능 2000,Day 5,stock,"재고품, 저장, 가축, 저장하다, (물품을) 들여놓다"
워드마스터 수능 2000,Day 5,resident,거주자
워드마스터 수능 2000,Day 5,labor,"노동, 산고, 노동하다"
워드마스터 수능 2000,Day 5,remark,"의견을 말하다, ~에 주목하다, 의견, 주목"
워드마스터 수능 2000,Day 5,moral,도덕적인
워드마스터 수능 2000,Day 5,embarrassed,당황한
워드마스터 수능 2000,Day 5,claim,"주장하다, 요구, 주장"
워드마스터 수능 2000,Day 5,reasonable,"논리적인, 분별력이 있는"
워드마스터 수능 2000,Day 5,interrupt,"방해하다, 중단하다"
워드마스터 수능 2000,Day 5,discount,"할인, 할인하다"
워드마스터 수능 2000,Day 5,creature,"생물, 피조물"
워드마스터 수능 2000,Day 5,heal,"치료하다, 낫게 하다"
워드마스터 수능 2000,Day 5,establish,"설립하다, 확립하다, 제정하다"
워드마스터 수능 2000,Day 5,revolution,"혁명, 갑작스런 변화, 회전"
워드마스터 수능 2000,Day 5,criticize,비난하다
워드마스터 수능 2000,Day 5,convince,"확신시키다, 납득시키다"
워드마스터 수능 2000,Day 5,efficient,"효율적인, 유능한"
워드마스터 수능 2000,Day 5,stranger,"낯선 사람, 문외한"
워드마스터 수능 2000,Day 5,tide,"조수(潮水), 흐름"
워드마스터 수능 2000,Day 5,obtain,"획득하다, 통용되다, 행해지다"
워드마스터 수능 2000,Day 5,assist,도움을 주다
워드마스터 수능 2000,Day 5,disaster,"재앙, 재난, 재해"
워드마스터 수능 2000,Day 5,terrific,"굉장한, 훌륭한"
워드마스터 수능 2000,Day 6,specific,"구체적인, 특정한"
워드마스터 수능 2000,Day 6,react,"반응하다, 반작용하다"
워드마스터 수능 2000,Day 6,independent,독립적인
워드마스터 수능 2000,Day 6,theory,이론
워드마스터 수능 2000,Day 6,qualify,자격을 얻다
워드마스터 수능 2000,Day 6,consider,"숙고하다, 고려하다"
워드마스터 수능 2000,Day 6,recall,"상기하다, 철회하다, 회수하다, 상기, 철회, 회수"
워드마스터 수능 2000,Day 6,risk,"위험, 위험을 감수하다"
워드마스터 수능 2000,Day 6,treatment,"취급, 대우, 치료(법)"
워드마스터 수능 2000,Day 6,engage,"관여하다, 약속하다, 약혼하다"
워드마스터 수능 2000,Day 6,motivate,동기를 부여하다
워드마스터 수능 2000,Day 6,clue,"실마리, 단서"
워드마스터 수능 2000,Day 6,cancer,"암, 악성 종양"
워드마스터 수능 2000,Day 6,elder,나이가 위인 연장자
워드마스터 수능 2000,Day 6,depress,"우울하게 하다, 의기소침[낙담]하게 하다"
워드마스터 수능 2000,Day 6,fascinate,"매료시키다, 마음을 빼앗다"
워드마스터 수능 2000,Day 6,violent,"난폭한, 폭력적인"
워드마스터 수능 2000,Day 6,alarm,"놀람, 경보"
워드마스터 수능 2000,Day 6,edge,"가장자리, 날카로움, 우위"
워드마스터 수능 2000,Day 6,deserve,~을 받을 만하다[가치가 있다]
워드마스터 수능 2000,Day 6,route,"길, 통로, 항로"
워드마스터 수능 2000,Day 6,psychology,"심리, 심리학"
워드마스터 수능 2000,Day 6,passion,열정
워드마스터 수능 2000,Day 6,import,"수입하다, 의미하다, 수입"
워드마스터 수능 2000,Day 6,purchase,"구매하다, 구매"
워드마스터 수능 2000,Day 6,conscience,양심
워드마스터 수능 2000,Day 6,pose,"자세를 취하다, (문제를) 제기하다, 자세"
워드마스터 수능 2000,Day 6,length,길이
워드마스터 수능 2000,Day 6,severe,"심한, 엄격한"
워드마스터 수능 2000,Day 6,decade,"10년, 10년간"
워드마스터 수능 2000,Day 6,occupy,"(시간·장소를) 차지하다, 전념하다"
워드마스터 수능 2000,Day 6,acquire,습득하다
워드마스터 수능 2000,Day 6,interact,상호 작용하다
워드마스터 수능 2000,Day 6,brief,"간단한, 간단한 보고, 간단히 알리다"
워드마스터 수능 2000,Day 6,observe,"관찰하다, ~을 보다, 준수하다"
워드마스터 수능 2000,Day 6,poetry,"시, 운문"
워드마스터 수능 2000,Day 6,salary,"급료, 봉급"
워드마스터 수능 2000,Day 6,grain,"곡물, 낟알"
워드마스터 수능 2000,Day 6,meaningful,"의미 있는, 의미심장한"
워드마스터 수능 2000,Day 6,weed,"잡초, 잡초를 제거하다"
워드마스터 수능 2000,Day 7,survival,생존
워드마스터 수능 2000,Day 7,comment,"논평, 주석(註釋) 논평하다"
워드마스터 수능 2000,Day 7,leap,"뛰다, 도약하다, 도약"
워드마스터 수능 2000,Day 7,survey,"설문 조사, 조사하다, 둘러보다"
워드마스터 수능 2000,Day 7,typical,"전형적인, 대표적인"
워드마스터 수능 2000,Day 7,mere,단지 ~에 불과한
워드마스터 수능 2000,Day 7,mechanic,기계공
워드마스터 수능 2000,Day 7,mood,"기분, 분위기"
워드마스터 수능 2000,Day 7,approve,"찬성하다, 승인하다"
워드마스터 수능 2000,Day 7,rural,시골의
워드마스터 수능 2000,Day 7,finance,"재정, 재무, 금융, 자금을 조달하다"
워드마스터 수능 2000,Day 7,seek,"찾다, 추구하다, 노력하다"
워드마스터 수능 2000,Day 7,operation,"작업, 운영, 수술"
워드마스터 수능 2000,Day 7,crime,범죄
워드마스터 수능 2000,Day 7,awful,"끔찍한, 지독한"
워드마스터 수능 2000,Day 7,series,"연속, 시리즈물"
워드마스터 수능 2000,Day 7,exhausted,"고갈된, 기진맥진한"
워드마스터 수능 2000,Day 7,absolute,"완전한, 절대적인"
워드마스터 수능 2000,Day 7,surround,둘러싸다
워드마스터 수능 2000,Day 7,display,"전시하다, 나타내다, 전시"
워드마스터 수능 2000,Day 7,policy,"정책, 수단, 방법"
워드마스터 수능 2000,Day 7,mass,"많은 양, 덩어리, 집단, 대중"
워드마스터 수능 2000,Day 7,committee,(상급 기관에 소속된) 위원회
워드마스터 수능 2000,Day 7,accurate,정확한
워드마스터 수능 2000,Day 7,arrange,"정리하다, 준비하다, 각색하다"
워드마스터 수능 2000,Day 7,facility,"시설, 편의, 재능"
워드마스터 수능 2000,Day 7,consult,"상담하다, 참고하다"
워드마스터 수능 2000,Day 7,refer,"언급하다, 위탁하다"
워드마스터 수능 2000,Day 7,attach,"붙이다, 첨부하다, 소속시키다"
워드마스터 수능 2000,Day 7,recover,"회복하다, 되찾다"
워드마스터 수능 2000,Day 7,reward,"보상, 보답하다"
워드마스터 수능 2000,Day 7,enormous,"엄청난, 거대한"
워드마스터 수능 2000,Day 7,domestic,"국내의, 가정의"
워드마스터 수능 2000,Day 7,wealth,"부(富), 재산"
워드마스터 수능 2000,Day 7,elementary,"초보의, 기초적인"
워드마스터 수능 2000,Day 7,gap,"격차, 틈"
워드마스터 수능 2000,Day 7,except,"~을 제외하고는, 제외하다"
워드마스터 수능 2000,Day 7,journey,여행
워드마스터 수능 2000,Day 7,plain,"평범한, 명백한"
워드마스터 수능 2000,Day 7,downtown,"도심, 도심의, 도심지에"
워드마스터 수능 2000,Day 8,previous,"앞의, 이전의"
워드마스터 수능 2000,Day 8,produce,"생산하다, 제조하다"
워드마스터 수능 2000,Day 8,remain,"여전히 ~이다, 남다"
워드마스터 수능 2000,Day 8,break,"깨다, (기기 등을) 고장 내다"
워드마스터 수능 2000,Day 8,slight,"약간의, 경미한"
워드마스터 수능 2000,Day 8,include,포함하다
워드마스터 수능 2000,Day 8,delay,"연기하다, 미루다, 지연"
워드마스터 수능 2000,Day 8,file,"서류철, (컴퓨터) 파일, 파일에 철하다, (소송 등을) 제기하다"
워드마스터 수능 2000,Day 8,ethic,윤리
워드마스터 수능 2000,Day 8,instant,"즉각의, 즉석의 순간"
워드마스터 수능 2000,Day 8,reveal,"드러내다, 폭로하다"
워드마스터 수능 2000,Day 8,breed,"낳다, 양육하다"
워드마스터 수능 2000,Day 8,leisure,"여가, 자유 시간, 한가한"
워드마스터 수능 2000,Day 8,urban,도시의
워드마스터 수능 2000,Day 8,witness,"목격자, 증인, 목격하다"
워드마스터 수능 2000,Day 8,admit,"인정하다, 입장을 허락하다"
워드마스터 수능 2000,Day 8,muscle,"근육, 힘, 강제"
워드마스터 수능 2000,Day 8,device,"장치, 고안, 방책"
워드마스터 수능 2000,Day 8,suppose,"가정하다, 추측하다"
워드마스터 수능 2000,Day 8,owe,"빚지고 있다, (명예·성공 등을) ~에 돌리다"
워드마스터 수능 2000,Day 8,intend,"~할 작정이다, 의도하다"
워드마스터 수능 2000,Day 8,aspect,"관점, 양상, 면"
워드마스터 수능 2000,Day 8,potential,"잠재적인, 잠재력"
워드마스터 수능 2000,Day 8,award,"수여하다, 상"
워드마스터 수능 2000,Day 8,preserve,"보존하다, 보호하다"
워드마스터 수능 2000,Day 8,spot,"지점, 얼룩, 발견하다, 얼룩지게 하다"
워드마스터 수능 2000,Day 8,underground,"지하의, 비밀의, 지하"
워드마스터 수능 2000,Day 8,consequence,"결과, 중요성"
워드마스터 수능 2000,Day 8,target,"목표, 표적, 목표로 삼다"
워드마스터 수능 2000,Day 8,unless,"~이 아닌 한, 만약 ~이 아니면"
워드마스터 수능 2000,Day 8,accomplish,"이루다, 성취하다"
워드마스터 수능 2000,Day 8,adopt,"채택하다, 입양하다"
워드마스터 수능 2000,Day 8,unique,"독특한, 유일한"
워드마스터 수능 2000,Day 8,slip,"미끄러지다, 실수하다, 종이 조각"
워드마스터 수능 2000,Day 8,civilization,문명
워드마스터 수능 2000,Day 8,row,"열, 줄, 배를 젓다"
워드마스터 수능 2000,Day 8,horizon,"수평선, 지평선"
워드마스터 수능 2000,Day 8,atmosphere,"대기, 분위기"
워드마스터 수능 2000,Day 8,label,"꼬리표, 상표, 라벨을 붙이다, ~을 …이라고 부르다"
워드마스터 수능 2000,Day 8,decorate,"장식하다, ~에게 훈장을 주다"
워드마스터 수능 2000,Day 9,identify,"~임을 확인하다, 식별하다, 동일시하다"
워드마스터 수능 2000,Day 9,standard,"기준, 표준 기준의, 표준의"
워드마스터 수능 2000,Day 9,scale,"규모, 저울, 비늘"
워드마스터 수능 2000,Day 9,evident,명백한
워드마스터 수능 2000,Day 9,seldom,거의 ~ 않는
워드마스터 수능 2000,Day 9,secretary,"비서, 서기관, 장관"
워드마스터 수능 2000,Day 9,basis,"기초, 원리"
워드마스터 수능 2000,Day 9,automatic,"자동적인, 기계적인"
워드마스터 수능 2000,Day 9,region,지역
워드마스터 수능 2000,Day 9,rise,"상승, 오르다, 일어나다"
워드마스터 수능 2000,Day 9,addict,"중독시키다, 중독자"
워드마스터 수능 2000,Day 9,disappoint,실망시키다
워드마스터 수능 2000,Day 9,artificial,"인공적인, 인조의"
워드마스터 수능 2000,Day 9,possess,"소유하다, ~의 마음을 사로잡다"
워드마스터 수능 2000,Day 9,substance,"물질, 본질, 실체"
